Process(V) Name                 Module Base Module Name          Result
0x85cc5030 lsass.exe            0x0754c0000 CRYPTSP.dll          OK: module.424.df0c5030.754c0000.dll
0x85cc5030 lsass.exe            0x06d880000 dssenh.dll           OK: module.424.df0c5030.6d880000.dll
0x85cc5030 lsass.exe            0x0766d0000 ADVAPI32.dll         OK: module.424.df0c5030.766d0000.dll
0x85cc5030 lsass.exe            0x075510000 efslsaext.dll        OK: module.424.df0c5030.75510000.dll
0x85cc5030 lsass.exe            0x0754e0000 negoexts.DLL         OK: module.424.df0c5030.754e0000.dll
0x85cc5030 lsass.exe            0x06e2f0000 vaultsvc.dll         OK: module.424.df0c5030.6e2f0000.dll
0x85cc5030 lsass.exe            0x077d00000 GDI32.dll            OK: module.424.df0c5030.77d00000.dll
0x85cc5030 lsass.exe            0x075310000 wdigest.DLL          OK: module.424.df0c5030.75310000.dll
0x85cc5030 lsass.exe            0x0765b0000 sechost.dll          OK: module.424.df0c5030.765b0000.dll
0x85cc5030 lsass.exe            0x075500000 msprivs.DLL          OK: module.424.df0c5030.75500000.dll
0x85cc5030 lsass.exe            0x075ad0000 CRYPT32.dll          OK: module.424.df0c5030.75ad0000.dll
0x85cc5030 lsass.exe            0x0744c0000 netutils.dll         OK: module.424.df0c5030.744c0000.dll
0x85cc5030 lsass.exe            0x075980000 RpcRtRemote.dll      OK: module.424.df0c5030.75980000.dll
0x85cc5030 lsass.exe            0x076470000 WLDAP32.dll          OK: module.424.df0c5030.76470000.dll
0x85cc5030 lsass.exe            0x077790000 USP10.dll            OK: module.424.df0c5030.77790000.dll
0x85cc5030 lsass.exe            0x075a30000 profapi.dll          OK: module.424.df0c5030.75a30000.dll
0x85cc5030 lsass.exe            0x072050000 MPR.dll              OK: module.424.df0c5030.72050000.dll
0x85cc5030 lsass.exe            0x0753d0000 logoncli.dll         OK: module.424.df0c5030.753d0000.dll
0x85cc5030 lsass.exe            0x0755e0000 wevtapi.dll          OK: module.424.df0c5030.755e0000.dll
0x85cc5030 lsass.exe            0x075000000 pku2u.DLL            OK: module.424.df0c5030.75000000.dll
0x85cc5030 lsass.exe            0x0764d0000 msvcrt.dll           OK: module.424.df0c5030.764d0000.dll
0x85cc5030 lsass.exe            0x075a20000 MSASN1.dll           OK: module.424.df0c5030.75a20000.dll
0x85cc5030 lsass.exe            0x075450000 netjoin.dll          OK: module.424.df0c5030.75450000.dll
0x85cc5030 lsass.exe            0x075a60000 KERNELBASE.dll       OK: module.424.df0c5030.75a60000.dll
0x85cc5030 lsass.exe            0x0764c0000 NSI.dll              OK: module.424.df0c5030.764c0000.dll
0x85cc5030 lsass.exe            0x075c00000 USERENV.dll          OK: module.424.df0c5030.75c00000.dll
0x85cc5030 lsass.exe            0x075680000 cryptdll.dll         OK: module.424.df0c5030.75680000.dll
0x85cc5030 lsass.exe            0x075890000 SspiSrv.dll          OK: module.424.df0c5030.75890000.dll
0x85cc5030 lsass.exe            0x0756a0000 Secur32.dll          OK: module.424.df0c5030.756a0000.dll
0x85cc5030 lsass.exe            0x0756c0000 SAMSRV.dll           OK: module.424.df0c5030.756c0000.dll
0x85cc5030 lsass.exe            0x0750d0000 credssp.dll          OK: module.424.df0c5030.750d0000.dll
0x85cc5030 lsass.exe            0x074f80000 WINNSI.DLL           OK: module.424.df0c5030.74f80000.dll
0x85cc5030 lsass.exe            0x0776e0000 IMM32.DLL            OK: module.424.df0c5030.776e0000.dll
0x85cc5030 lsass.exe            0x075cf0000 CFGMGR32.dll         OK: module.424.df0c5030.75cf0000.dll
0x85cc5030 lsass.exe            0x0751d0000 schannel.DLL         OK: module.424.df0c5030.751d0000.dll
0x85cc5030 lsass.exe            0x075d50000 USER32.dll           OK: module.424.df0c5030.75d50000.dll
0x85cc5030 lsass.exe            0x075910000 cryptbase.dll        OK: module.424.df0c5030.75910000.dll
0x85cc5030 lsass.exe            0x075550000 ncrypt.dll           OK: module.424.df0c5030.75550000.dll
0x85cc63c8 lsm.exe              0x0009e0000 lsm.exe              OK: module.432.df0c63c8.9e0000.dll
0x85cc63c8 lsm.exe              0x077b10000 ntdll.dll            OK: module.432.df0c63c8.77b10000.dll
0x85cc63c8 lsm.exe              0x077830000 kernel32.dll         OK: module.432.df0c63c8.77830000.dll
0x85cc63c8 lsm.exe              0x0765b0000 sechost.dll          OK: module.432.df0c63c8.765b0000.dll
0x85cc63c8 lsm.exe              0x075a60000 KERNELBASE.dll       OK: module.432.df0c63c8.75a60000.dll
0x85cc63c8 lsm.exe              0x0758a0000 SSPICLI.DLL          OK: module.432.df0c63c8.758a0000.dll
0x85cc63c8 lsm.exe              0x075770000 SYSNTFY.dll          OK: module.432.df0c63c8.75770000.dll
0x85cc63c8 lsm.exe              0x076780000 RPCRT4.dll           OK: module.432.df0c63c8.76780000.dll
0x85cc63c8 lsm.exe              0x0756a0000 secur32.dll          OK: module.432.df0c63c8.756a0000.dll
0x85cc63c8 lsm.exe              0x0750d0000 credssp.dll          OK: module.432.df0c63c8.750d0000.dll
0x85cc63c8 lsm.exe              0x0756b0000 WMsgAPI.dll          OK: module.432.df0c63c8.756b0000.dll
0x85cc63c8 lsm.exe              0x0766d0000 ADVAPI32.dll         OK: module.432.df0c63c8.766d0000.dll
